epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6202,1.05528,2.11811,1.34996,0.389,0.53415,0.36886,0.20218,1.27784,6.03353,1.85943,0.000657277,0.000657277,0.000657277
2,44.4488,1.33971,1.98601,1.53894,0.22255,0.48034,0.18367,0.08832,1.5797,5.21495,2.23758,0.00131084,0.00131084,0.00131084
3,64.2565,1.4809,2.00387,1.66471,0.25882,0.26486,0.16215,0.08209,1.94037,3.62125,2.24298,0.0019512,0.0019512,0.0019512
4,84.064,1.39565,1.91987,1.60642,0.04298,0.10593,0.02457,0.01282,2.4367,3.71536,2.50001,0.0019406,0.0019406,0.0019406
5,104.197,1.45975,1.93857,1.62416,0.36649,0.4584,0.28801,0.16887,1.64788,2.39606,2.1008,0.0019208,0.0019208,0.0019208
6,124.368,1.40929,1.87614,1.62779,0.41265,0.44357,0.35721,0.18262,1.57445,2.62336,2.01416,0.001901,0.001901,0.001901
7,144.727,1.37745,1.81745,1.57419,0.44284,0.48305,0.37389,0.22254,1.34212,2.29487,1.72174,0.0018812,0.0018812,0.0018812
8,165.012,1.29445,1.80884,1.54875,0.53576,0.42797,0.39436,0.24533,1.42816,2.13643,1.87995,0.0018614,0.0018614,0.0018614
9,187.271,1.30626,1.73765,1.54929,0.50551,0.45339,0.38798,0.24594,1.38933,2.09101,1.74892,0.0018416,0.0018416,0.0018416
10,208.405,1.20748,1.68341,1.51573,0.31968,0.49153,0.27806,0.15985,1.41008,2.32698,1.83274,0.0018218,0.0018218,0.0018218
11,233.462,1.23967,1.64857,1.50061,0.46317,0.5886,0.43696,0.2817,1.16195,1.78251,1.60965,0.001802,0.001802,0.001802
12,266.455,1.21181,1.63742,1.45889,0.53642,0.54661,0.44376,0.30491,1.13276,2.1207,1.5794,0.0017822,0.0017822,0.0017822
13,303.348,1.23669,1.6613,1.48903,0.48926,0.54237,0.43801,0.26857,1.36813,1.91975,1.88327,0.0017624,0.0017624,0.0017624
